Person,Project,Role,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
Person_03,Project_001,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,40,,40,,,
Person_18,Project_001,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,
Person_05,Project_002,Developer,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_002,Developer,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Project_002,Analyst,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_002,Manager,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_003,Developer,,,,,,40,,,,,,,,,,,,,,,35,,40,20,,40,,,,,,,,40,,,,,,,,,,,,,,,,,,
Person_05,Project_003,Developer,,,,,,,,,40,,,,35,,,,,,20,,,,40,40,,,,40,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_003,Manager,,,,,,,,,,,,40,,,,,,,,,,,,,,10,,,,40,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_004,Manager,140,,40,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_004,Developer,,,,40,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_08,Project_005,Developer,,,,,,,,,,,,,,,,,,,,,,20,,,40,,10,40,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_005,Developer,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_14,Project_006,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,40,,,,,,,,,
Person_09,Project_007,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
Person_01,Project_007,Analyst,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_008,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,15,,,40,,,,,,,,,,,,,,,,
Person_11,Project_008,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,25,,,,,,,,,,,,,,,,,,
Person_12,Project_008,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,
Person_18,Project_008,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,
Person_05,Project_009,Developer,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,40,,,,30,,,,,,,,,,,,,,,,
Person_03,Project_009,Manager,,,,,,,,,,,20,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_010,Developer,,,,,,,,,,,35,40,,40,,,,,,,,,,,,40,,,,,15,,,,,,,,,,,,,,,,,,,,,
Person_07,Project_010,Analyst,,,,,,,,,,,,,,,,,,,,,,15,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_15,Project_011,Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,40,,,,,,,,
Person_14,Project_011,Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,
Person_03,Project_012,Manager,,40,,,,,,,,,,,,,,35,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_19,Project_012,Analyst,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_05,Project_012,Developer,,,,,,,,,,,,,,,,40,,,25,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person_20,Project_013,Developer,,,,,,,,,,,,,15,,20,,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
